Latitude,Longitude,Score
34.3209,-118.2247,0.970787070045478
41.8401,-87.8168,0.9683866876034417
29.8577,-95.3936,0.9585445977008986
33.349,-112.4915,0.9544387141128929
33.0343,-116.735,0.9700376473382485
33.7031,-117.7609,0.9767449728070716
25.615,-80.5623,0.9363731605404754
32.7666,-96.7778,0.9554518365215945
33.7436,-115.9938,0.966009333770996
47.4902,-121.8052,0.9731402650156098
36.2152,-115.0135,0.9529561308584097
34.8414,-116.1784,0.9652627300849073
32.7719,-97.2911,0.9549434115892449
29.4489,-98.52,0.9598043124229256
26.1523,-80.4871,0.9374665822936485
37.2318,-121.6951,0.9812600132059672
42.2819,-83.2822,0.9380255046961117
37.6469,-121.8888,0.9794372895191031
42.4856,-71.3918,0.981225209824734
40.0077,-75.1339,0.9608720703998948
38.4493,-121.3443,0.9673903612593462
40.8686,-72.8448,0.9711079249488987
26.6476,-80.4655,0.9377137893212009
27.9291,-82.3091,0.9365409232404613
28.5145,-81.3236,0.9379630094682133
40.7328,-73.5865,0.9752078863770784
39.9695,-83.0093,0.9521959181703943
42.6604,-83.3858,0.9612901958443566
45.0045,-93.477,0.9771794543414946
30.3344,-97.782,0.9679654809149777
41.4243,-81.6586,0.9482844502384759
40.4688,-79.9812,0.9695862545491378
40.6673,-111.9236,0.96719021958606
37.9192,-121.9277,0.9765277965162592
38.8368,-77.277,0.9807312784650989
35.7903,-78.6503,0.9665658555613312
35.2467,-80.8328,0.9632065694907188
39.1363,-77.2042,0.9813586618006722
33.7903,-84.467,0.9610648571997578
33.188,-96.5724,0.9676597386011007
32.0974,-111.7899,0.9567009685673166
36.7582,-119.6493,0.9618785041316369
38.6407,-90.4434,0.9571727140237298
41.1624,-73.7561,0.9764943754245341
30.3316,-81.6708,0.9279918122624891
39.7817,-86.1385,0.9475988058231469
27.92,-82.7256,0.9300367352446616
38.8295,-76.8473,0.9746659230092034
41.271,-73.3893,0.983591114705257
42.764,-78.7323,0.9621052476341057
33.9617,-84.0236,0.9591428317274845
43.0072,-87.9669,0.9597725273937361
41.852,-88.0856,0.9749774695316339
35.1842,-89.894,0.9372017865738765
47.0241,-122.1046,0.959411629749838
35.3426,-118.7301,0.957342164982243
41.8064,-72.7329,0.9791960362659334
33.2055,-97.1168,0.9656082945835281
42.6957,-82.9323,0.9437599323611514
37.7558,-122.4449,0.9809978309593104
26.3969,-98.1812,0.9516656394349072
41.4106,-72.9321,0.9747992154999476
31.7686,-106.2348,0.9624344489137471
42.3514,-71.9077,0.9719408570819366
40.2108,-75.3673,0.9790248568179833
39.4627,-76.6393,0.9686539609861056
34.4561,-119.0836,0.9730438153337952
39.1955,-84.5428,0.9502900280521902
48.0475,-121.6975,0.966546629958325
45.5468,-122.4148,0.96160614182692
29.5275,-95.7709,0.9678851595808142
42.6732,-70.952,0.9738252685793457
42.3333,-71.0719,0.9731398645254343
35.5515,-97.4072,0.9384341780923076
38.1872,-85.6591,0.9334503905117641
37.9348,-121.2714,0.9653860918826594
33.9415,-84.5767,0.9619338361738645
37.4229,-122.329,0.9813281046340814
33.7715,-84.2264,0.9581304611604509
43.1464,-77.6961,0.9671828537982504
26.5779,-81.8337,0.9329324012116846
38.8321,-104.5254,0.963515800351831
42.1605,-71.2115,0.9805936643229725
42.3233,-88.0037,0.9723014564214564
39.0085,-94.3461,0.950281291772436
27.9489,-81.6976,0.9217414884932704
36.1695,-86.7847,0.9438998203747408
39.762,-104.8758,0.9679195394781444
41.445,-87.9786,0.9676748517716283
35.0514,-106.6702,0.9605491632418378
33.5543,-86.8964,0.9396466581083438
36.1211,-95.9415,0.9373015104984996
41.8721,-71.58,0.9499868642954326
43.0322,-85.5493,0.9529392403126398
39.6498,-104.3393,0.9692590691186949
40.1199,-111.6703,0.9687660040835754
40.337,-75.1069,0.9755315513751288
30.3002,-95.503,0.9565028835762465
38.8838,-94.8223,0.9762614290990261
28.2937,-80.7323,0.9307143211462996
45.56,-123.0984,0.9666731766373605
39.3051,-76.6144,0.9556292274152403
30.6475,-97.6004,0.9652697009401385
39.0065,-76.6051,0.971778287923209
39.5864,-105.2505,0.9701483170931257
41.2953,-96.1543,0.9711180454145315
41.7972,-71.1144,0.9610127826809423
39.9167,-75.3991,0.9713565654507078
39.5768,-75.6527,0.9659871783802175
43.0673,-89.4181,0.9732769520787491
28.3091,-82.3932,0.9267377523102776
37.5591,-120.9977,0.9617392412774983
40.0424,-76.2477,0.9640099340102828
45.0171,-93.0996,0.9712099675432105
29.0584,-81.1819,0.928055381817533
41.126,-81.5322,0.9478804311799061
36.0795,-79.7889,0.9556158986186702
39.7547,-84.2907,0.9401302733557881
39.9731,-75.7484,0.9794726767632688
47.6207,-117.404,0.9562562790439268
41.9512,-70.8114,0.9722692960829296
37.6848,-97.461,0.9604896889001361
34.8941,-82.3706,0.9472999581299762
41.9388,-88.4286,0.9673404958000701
39.8736,-104.3379,0.9636993155773057
45.7792,-122.4825,0.962491571215377
41.4167,-87.3821,0.9503114036141295
38.5289,-122.8881,0.9720216749594973
41.6854,-93.5734,0.9662754428691265
43.4511,-116.2412,0.9553946944884228
40.6655,-119.6643,0.9582031772910404
38.7029,-77.4809,0.97130002999452
35.9932,-83.9371,0.9398580406774283
43.0058,-76.1946,0.9623172829543456
36.2202,-118.8005,0.9551371142801053
28.717,-81.2363,0.9422699690446664
42.1351,-72.6316,0.9624762120413017
36.7335,-76.0435,0.9669350185689571
30.5383,-91.0956,0.9355135280663339
39.92,-76.7265,0.9613706075947602
38.27,-121.9329,0.9718933404664665
34.6729,-120.0169,0.9695439105742389
29.7872,-90.1274,0.932547516809664
36.2171,-121.2388,0.9667916216740844
44.6719,-93.0654,0.977599420919905
41.6197,-83.6588,0.9388020577421908
27.1845,-82.3315,0.9367321463118846
40.4163,-75.926,0.9639579456552794
32.9044,-111.3448,0.9486682608354275
26.1333,-97.5182,0.9496315931958857
42.9153,-71.7161,0.9633882426568687
45.188,-122.2209,0.9643725392964622
34.0218,-80.9031,0.9486338967978931
30.7872,-88.2058,0.932310961513075
